open_time,high_kg,low_kg,close_kg,high_oz,low_oz,close_oz,ret
2009-06-05,22222.77,21056.4,21445.1,691.21,654.93,667.02,-0.008747902654486439
2009-07-05,21623.96,20886.92,21333.01,672.58,649.66,663.53,-0.026952735058809907
2009-08-04,22100.22,21137.81,22003.86,687.39,657.46,684.4,0.02201968539058541
2009-09-03,22480.26,21636.59,22114.69,699.21,672.97,687.84,0.01719547854929515
2009-10-03,23169.99,22055.67,22800.45,720.67,686.01,709.17,0.030691780723959727
2009-11-02,25603.67,22734.67,25497.12,796.36,707.13,793.05,0.1050272662938656
2009-12-02,26133.62,24300.08,24628.32,812.85,755.82,766.03,0.020706715555778743
2010-01-01,25785.21,24591.01,25073.17,802.01,764.87,779.86,-0.013335793811896424
2010-01-31,26711.83,24720.1,26515.75,830.83,768.88,824.73,0.03593471403099713
2010-03-02,26959.51,25703.48,26461.06,838.53,799.47,823.03,0.009267840593141674
2010-04-01,28759.5,26444.08,28525.91,894.52,822.5,887.25,0.06677161222615768
2010-05-01,32595.42,28382.44,31684.25,1013.83,882.79,985.49,0.1333787953315746
2010-05-31,33802.64,31575.71,32742.56,1051.38,982.11,1018.41,0.03703776767308131
2010-06-30,32855.89,28500.83,28740.61,1021.93,886.47,893.93,-0.028010804846963167
2010-07-30,31575.99,28688.83,31198.68,982.12,892.32,970.39,-0.03895570146683236
2010-08-29,31997.2,30857.9,30949.1,995.22,959.79,962.62,0.013338492241274036
2010-09-28,31676.79,30394.27,30959.54,985.26,945.37,962.95,-0.010007837463073543
2010-10-28,33288.85,30436.69,33123.69,1035.4,946.69,1030.26,0.050890120374317505
2010-11-27,34487.45,32929.57,33781.44,1072.68,1024.22,1050.72,0.03600540853776324
2010-12-27,34586.35,31207.7,31309.87,1075.76,970.67,973.85,0.0028713129731139375
2011-01-26,33339.46,30680.15,32662.0,1036.97,954.26,1015.9,-0.03605822860117491
2011-02-25,33504.35,32003.5,32636.8,1042.1,995.42,1015.12,0.004947105509320204
2011-03-27,33829.6,32149.78,33295.92,1052.22,999.97,1035.62,0.00971116015737472
2011-04-26,34994.82,32381.32,34883.16,1088.46,1007.17,1084.99,0.034441466613445826
