open_time,close,open,high,low,ignored,ret
2000-07-30,1462.9,1419.9,1462.9,1418.3,"3,03%",-0.015412572351594989
2000-08-06,1471.8,1462.9,1490.3,1452.9,"0,61%",0.018729920021874236
2000-08-13,1491.7,1471.8,1499.5,1468.6,"1,35%",0.006173253707307369
2000-08-20,1506.5,1491.7,1513.4,1489.4,"0,99%",0.009269756585528643
2000-08-27,1520.8,1507.0,1530.0,1500.1,"0,95%",0.01096867979384153
2000-09-03,1494.5,1520.8,1520.8,1489.9,"-1,73%",-0.006013071895424882
2000-09-10,1465.8,1494.5,1506.6,1460.2,"-1,92%",-0.00933719095213048
2000-09-17,1448.7,1465.8,1467.9,1421.9,"-1,17%",-0.025686977299880454
2000-09-24,1436.5,1448.7,1461.7,1419.5,"-0,84%",-0.004223720961918365
2000-10-01,1409.0,1436.5,1454.8,1397.1,"-1,91%",-0.004720530888691288
2000-10-08,1374.2,1409.0,1409.7,1326.8,"-2,47%",-0.031000824855650144
2000-10-15,1396.9,1374.2,1408.5,1305.8,"1,65%",-0.0008512449457331872
2000-10-22,1379.6,1396.9,1415.6,1337.8,"-1,24%",0.005040823571174968
2000-10-29,1426.7,1379.6,1433.3,1376.9,"3,41%",0.01250353207120658
2000-11-05,1366.0,1428.8,1438.5,1366.0,"-4,25%",0.003627991348636117
2000-11-12,1367.7,1366.0,1396.0,1328.6,"0,12%",-0.029544664581160895
2000-11-19,1341.8,1367.7,1367.7,1321.9,"-1,89%",-0.02027220630372495
2000-11-26,1315.2,1341.8,1362.5,1294.9,"-1,98%",-0.003802003363310713
2000-12-03,1369.9,1315.2,1380.3,1310.2,"4,16%",0.013064220183486297
2000-12-10,1312.2,1369.9,1389.0,1305.4,"-4,21%",0.006302977613562355
2000-12-17,1306.0,1312.2,1346.4,1254.1,"-0,47%",-0.030669546436285056
2000-12-24,1320.3,1306.0,1340.1,1301.6,"1,09%",-0.004679144385026923
2000-12-31,1298.3,1320.3,1350.2,1274.6,"-1,67%",0.007536750988732299
2001-01-07,1318.3,1298.3,1333.2,1276.3,"1,54%",-0.012590727299659266
2001-01-14,1342.5,1318.3,1354.5,1313.3,"1,84%",0.01597659765976589
2001-01-21,1355.0,1342.5,1369.8,1333.8,"0,93%",0.011295681063122842
2001-01-28,1349.5,1354.9,1383.4,1348.7,"-0,41%",0.00992845670900877
2001-02-04,1314.8,1349.5,1363.5,1310.0,"-2,57%",-0.01438484892294356
2001-02-11,1301.5,1314.8,1336.6,1293.2,"-1,01%",-0.019728639530619763
2001-02-18,1245.9,1301.5,1307.2,1215.4,"-4,27%",-0.021996109531647323
2001-02-25,1234.2,1245.9,1272.8,1214.5,"-0,94%",-0.026315789473684292
2001-03-04,1233.4,1234.2,1267.4,1228.4,"-0,06%",-0.004242614707730907
2001-03-11,1150.5,1233.4,1233.4,1148.6,"-6,72%",-0.026826574088685495
2001-03-18,1139.8,1150.5,1180.6,1081.2,"-0,93%",-0.042808496838008914
2001-03-25,1160.3,1139.8,1183.4,1136.3,"1,80%",0.0023716754192784073
2001-04-01,1128.4,1160.3,1169.5,1092.0,"-2,75%",-0.011745817137062797
2001-04-08,1183.5,1128.4,1183.5,1126.4,"4,88%",0.01197092774690045
2001-04-15,1243.0,1183.5,1253.7,1167.4,"5,03%",0.05931558935361214
