"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"00:00:00 07-Jul-2020",55550.25,50562.93,55150.48,,1727.81,1572.68,1715.37,
"00:00:00 07-Jun-2020",51310.12,47733.22,50755.59,,1595.92,1484.67,1578.68,
"00:00:00 08-May-2020",52508.55,47502.32,47988.29,,1633.20,1477.49,1492.60,
"00:00:00 08-Apr-2020",51857.67,48552.43,50861.30,,1612.95,1510.15,1581.96,
"00:00:00 09-Mar-2020",49784.44,41848.68,48652.11,,1548.47,1301.64,1513.25,
"00:00:00 08-Feb-2020",50184.91,45744.72,47995.13,,1560.93,1422.82,1492.82,
"00:00:00 09-Jan-2020",46289.33,44345.40,46112.79,,1439.76,1379.30,1434.27,
"00:00:00 10-Dec-2019",46404.65,42036.18,45073.25,,1443.35,1307.47,1401.93,
"00:00:00 10-Nov-2019",43084.94,42197.05,42460.56,,1340.09,1312.47,1320.67,
"00:00:00 11-Oct-2019",43951.30,42444.97,42574.88,,1367.04,1320.19,1324.23,
"00:00:00 11-Sep-2019",44837.39,43085.91,43627.14,,1394.60,1340.12,1356.96,
"00:00:00 12-Aug-2019",45447.61,42597.25,43269.24,,1413.58,1324.92,1345.82,
"00:00:00 13-Jul-2019",43373.67,40145.72,43065.95,,1349.07,1248.67,1339.50,
"00:00:00 13-Jun-2019",40872.62,37941.94,40383.76,,1271.28,1180.13,1256.08,
"00:00:00 14-May-2019",38270.59,36610.05,37968.55,,1190.35,1138.70,1180.95,
"00:00:00 14-Apr-2019",37265.04,36170.21,37260.61,,1159.07,1125.02,1158.93,
"00:00:00 15-Mar-2019",37654.50,36670.52,36719.42,,1171.19,1140.58,1142.10,
"00:00:00 13-Feb-2019",38150.67,36413.83,36856.65,,1186.62,1132.60,1146.37,
"00:00:00 14-Jan-2019",37463.70,36105.74,37169.93,,1165.25,1123.01,1156.11,
"00:00:00 15-Dec-2018",36607.41,35071.79,36138.34,,1138.62,1090.85,1124.03,
"00:00:00 15-Nov-2018",35370.37,34287.49,35222.26,,1100.14,1066.46,1095.53,
"00:00:00 16-Oct-2018",35156.44,33972.02,34419.19,,1093.49,1056.65,1070.56,
"00:00:00 16-Sep-2018",34239.00,32539.30,34055.27,,1064.95,1012.09,1059.24,
"00:00:00 17-Aug-2018",33514.62,32961.30,33018.71,,1042.42,1025.21,1027.00,
"00:00:00 18-Jul-2018",34256.69,32913.71,33227.99,,1065.50,1023.73,1033.51,
"00:00:00 18-Jun-2018",35660.89,33741.48,33858.87,,1109.18,1049.48,1053.13,
"00:00:00 19-May-2018",36444.65,35109.29,35528.38,,1133.56,1092.02,1105.06,
"00:00:00 19-Apr-2018",35717.14,34776.03,35325.18,,1110.93,1081.66,1098.74,
"00:00:00 20-Mar-2018",35435.53,34225.52,35081.23,,1102.17,1064.53,1091.15,
"00:00:00 18-Feb-2018",35014.14,34236.58,34326.84,,1089.06,1064.88,1067.68,
"00:00:00 19-Jan-2018",35289.71,34307.79,34913.45,,1097.63,1067.09,1085.93,
"00:00:00 20-Dec-2017",35517.44,34179.27,34897.58,,1104.72,1063.09,1085.44,
"00:00:00 20-Nov-2017",35449.73,33856.38,34273.54,,1102.61,1053.05,1066.03,
"00:00:00 21-Oct-2017",35708.78,34682.45,35442.43,,1110.67,1078.74,1102.38,
"00:00:00 21-Sep-2017",35632.00,34641.37,34941.97,,1108.28,1077.47,1086.82,
"00:00:00 22-Aug-2017",36247.73,34703.78,35167.98,,1127.43,1079.41,1093.85,
"00:00:00 23-Jul-2017",35596.53,34178.42,35161.43,,1107.18,1063.07,1093.64,
"00:00:00 23-Jun-2017",36222.38,33979.70,34598.23,,1126.64,1056.89,1076.13,
"00:00:00 24-May-2017",37038.39,35820.44,36085.54,,1152.02,1114.14,1122.39,
"00:00:00 24-Apr-2017",37878.85,35766.02,35980.58,,1178.16,1112.45,1119.12,
